Datasheets	Image	Digi-Key Part Number	Manufacturer Part Number	Manufacturer	Description	Quantity Available	Factory Stock	Unit Price (USD)	@ qty	Minimum Quantity	Packaging	Series	Type	Unidirectional Channels	Bidirectional Channels	Voltage - Reverse Standoff (Typ)	Voltage - Breakdown (Min)	Voltage - Clamping (Max) @ Ipp	Current - Peak Pulse (10/1000µs)	Power - Peak Pulse	Power Line Protection	Applications	Capacitance @ Frequency	Operating Temperature	Mounting Type	Package / Case	Supplier Device Package
http://www.infineon.com/dgdl/ESD208-B1-02+Series_rev_1_3.pdf?folderId=db3a30431f848401011fcbf2ab4c04c4&fileId=db3a3043429a38690142c241d4cb2c0f	http://media.digikey.com/Renders/Infineon%20Renders/TSLP-2-1.jpg	ESD208B102ELE6327XTMA1CT-ND	ESD208B102ELE6327XTMA1	Infineon Technologies	TVS DIODE 3.3VWM 8.1VC TSLP2-19	7356	0	0.27	0	1	Cut Tape (CT)	-	Zener	-	1	3.3V (Max)	3.65V	8.1V	4A (8/20µs)	30W	No	General Purpose	6pF @ 1MHz	-55°C ~ 125°C (TJ)	Surface Mount	SOD-882	TSLP-2-19
http://www.semtech.com/images/datasheet/uclamp3311z.pdf	http://media.digikey.com/Renders/Semtech%20Renders/0201%20%280603%29.jpg	UCLAMP3311Z.TNTCT-ND	UCLAMP3311Z.TNT	Semtech Corporation	TVS DIODE 3.3VWM 7.5VC	9875	0	0.29	0	1	Cut Tape (CT)	uClamp®	Zener	-	1	3.3V (Max)	3.65V	7.5V	4A (8/20µs)	30W	No	General Purpose	6pF @ 1MHz	-40°C ~ 85°C (TJ)	Surface Mount	2-XFDFN	SLP0603P2X3A
http://www.comchiptech.com/cms/UserFiles/CPDQ5V0-HF%20RevB454951.pdf	http://media.digikey.com/Renders/Comchip%20Renders/0402%20(1006%20Metric).jpg	641-1478-1-ND	CPDQ5V0-HF	Comchip Technology	TVS DIODE 5VWM 18.6VC SOD923F	41257	8000	0.34	0	1	Cut Tape (CT)	-	Zener	-	1	5V	5.6V	18.6V	9.4A (8/20µs)	174W	No	General Purpose	15pF @ 1MHz	-40°C ~ 125°C (TA)	Surface Mount	SOD-923	0402/SOD-923F
http://www.nxp.com/documents/data_sheet/PESD5V0S1BA_BB_BL.pdf	"http://media.digikey.com/Renders/NXP%20Semi%20Renders/SC-76,SOD-323.jpg"	568-4053-1-ND	"PESD5V0S1BA,115"	NXP Semiconductors	TVS DIODE 5VWM 14VC SOD323	68650	0	0.4	0	1	Cut Tape (CT)	-	Zener	-	1	5V (Max)	5.5V	14V	12A (8/20µs)	130W	No	General Purpose	35pF @ 1MHz	-65°C ~ 150°C (TA)	Surface Mount	"SC-76, SOD-323"	SOD-323
http://www.mccsemi.com/up_pdf/ESD5V0D9B(SOD-923).pdf	http://media.digikey.com/Renders/Micro%20Commercial%20Renders/SOD923.jpg	ESD5V0D9B-TPMSCT-ND	ESD5V0D9B-TP	Micro Commercial Co	TVS DIODE 5VWM SOD923	5948	0	0.4	0	1	Cut Tape (CT)	-	Zener	-	1	5V (Max)	5.6V	-	-	80W	No	General Purpose	15pF @ 1MHz	-55°C ~ 150°C (TJ)	Surface Mount	SOD-923	SOD-923
http://www.diodes.com/datasheets/ds31434.pdf	http://media.digikey.com/Renders/Diodes%20Renders/2-UFDFN.jpg	DESD5V0S1BL-7BDICT-ND	DESD5V0S1BL-7B	Diodes Incorporated	TVS DIODE 5VWM 14VC 2DFN	25419	2190000	0.4	0	1	Cut Tape (CT)	-	Zener	-	1	5V (Max)	5.5V	14V	12A (8/20µs)	130W	No	General Purpose	35pF @ 1MHz	-65°C ~ 150°C (TJ)	Surface Mount	2-UFDFN	2-DFN1006 (1.0x0.6)
http://www.comchiptech.com/cms/UserFiles/CPDUR5V0R-HF-Rev%20B339379.pdf	"http://media.digikey.com/Renders/Comchip%20Renders/SOD-79,%20SOD-523.jpg"	641-1526-1-ND	CPDUR5V0R-HF	Comchip Technology	TVS DIODE 5VWM 13VC SOD-523F	7815	0	0.4	0	1	Cut Tape (CT)	-	Zener	-	1	5V (Max)	5.6V	13V	12A (8/20µs)	-	No	General Purpose	20pF @ 1MHz	-40°C ~ 150°C (TJ)	Surface Mount	"SC-79, SOD-523"	SOD-523F
http://www.comchiptech.com/cms/UserFiles/ACPDxx5V0R-HF%20Series%20RevB833232.pdf	http://media.digikey.com/Renders/Comchip%20Renders/SOD-923.jpg	641-1636-1-ND	ACPDQC5V0R-HF	Comchip Technology	TVS DIODE 5VWM 12VC 0402	4645	0	0.41	0	1	Cut Tape (CT)	"Automotive, AEC-Q101"	Zener	-	1	5V (Max)	5.6V	12V	11A (8/20µs)	-	No	Automotive	24pF @ 1MHz	-40°C ~ 150°C (TJ)	Surface Mount	0402 (1005 Metric)	0402/SOD-923F
http://www.comchiptech.com/cms/UserFiles/ACPDQC3V3T-HF%20RevA.pdf	http://media.digikey.com/Renders/Comchip%20Renders/SOD-923.jpg	641-1635-1-ND	ACPDQC3V3T-HF	Comchip Technology	TVS DIODE 3.3VWM 9.8VC 0402	3935	0	0.41	0	1	Cut Tape (CT)	"Automotive, AEC-Q101"	Zener	-	1	3.3V (Max)	3.6V	9.8V	16A (8/20µs)	-	No	Automotive	20pF @ 1MHz	-	Surface Mount	0402 (1005 Metric)	0402/SOD-923F
http://www.infineon.com/dgdl/esd5v0sxus.pdf?folderId=db3a30431441fb5d0114883802cf0d02&fileId=db3a30431441fb5d0114883be5d40d04	http://media.digikey.com/Renders/Infineon%20Renders/SOT-363%20PKG.jpg	ESD5V0S5USE6327INCT-ND	ESD5V0S5US E6327	Infineon Technologies	TVS DIODE 5VWM 13VC SOT363	152	0	0.41	0	1	Cut Tape (CT)	-	Zener	5	-	5V	5.7V	13V	10A (8/20µs)	130W	No	General Purpose	-	-55°C ~ 125°C (TJ)	Surface Mount	"6-VSSOP, SC-88, SOT-363"	PG-SOT363-6
