"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Regulator Topology,Voltage - Output,Current - Output,Voltage - Dropout (Typical),Number of Regulators,Voltage - Input,Current - Limit (Min),Operating Temperature,Mounting Type,Package / Case,Supplier Device Package
http://rohmfs.rohm.com/en/products/databook/datasheet/ic/power/linear_regulator/bdxxia5wefj-e.pdf,http://media.digikey.com/renders/Rohm%20Renders/8-TSOP_HTSOP-J8%20Pkg.jpg,BD33IA5WEFJ-E2CT-ND,BD33IA5WEFJ-E2,Rohm Semiconductor,IC REG LDO 3.3V 0.5A 8HTSOP-J,2795,0,0.67,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,500mA,0.4V @ 500mA,1,Up to 5.5V,-,-25Â°C ~ 85Â°C,Surface Mount,"8-SOIC (0.154"", 3.90mm Width) Exposed Pad",8-HTSOP-J
http://www.micrel.com/_PDF/MIC5528.pdf,-,576-4766-1-ND,MIC5528-3.3YMT TR,Micrel Inc,IC REG LDO 3.3V 0.5A 6TDFN,4850,0,0.67,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,500mA,0.26V @ 500mA,1,Up to 5.5V,525mA,-40Â°C ~ 125Â°C,Surface Mount,6-UFDFN Exposed Pad,6-XTDFN (1.2x1.2)
http://www.micrel.com/_PDF/MIC5524_2pg.pdf,http://media.digikey.com/Renders/Micrel%20Renders/4-UDFN.jpg,576-4442-1-ND,MIC5524-3.3YMT T5,Micrel Inc,IC REG LDO 3.3V 0.5A 4TDFN,1011,0,0.67,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,500mA,0.26V @ 500mA,1,Up to 5.5V,525mA,-40Â°C ~ 125Â°C,Surface Mount,4-UDFN Exposed Pad,4-TDFN (1x1)
http://www.micrel.com/_PDF/MIC5528_2pg.pdf,-,576-4452-1-ND,MIC5528-3.3YMX TR,Micrel Inc,IC REG LDO 3.3V 0.5A 6DFN,9895,0,0.72,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,500mA,0.26V @ 500mA,1,Up to 5.5V,525mA,-40Â°C ~ 125Â°C,Surface Mount,6-XFDFN Exposed Pad,6-TDFN (1.2x1.2)
http://rohmfs.rohm.com/en/products/databook/datasheet/ic/power/linear_regulator/bdxxia5mefj-m-e.pdf,http://media.digikey.com/renders/Rohm%20Renders/8-TSOP_HTSOP-J8%20Pkg.jpg,BD33IA5MEFJ-ME2CT-ND,BD33IA5MEFJ-ME2,Rohm Semiconductor,IC REG LDO 3.3V 0.5A 8HTSOP,1967,0,0.92,0,1,Cut Tape (CT),"Automotive, AEC-Q100",Positive Fixed,3.3V,500mA,0.4V @ 500mA,1,Up to 5.5V,-,-40Â°C ~ 105Â°C,Surface Mount,"8-SOIC (0.154"", 3.90mm Width) Exposed Pad",8-HTSOP-J
http://www.onsemi.com/pub_link/Collateral/NCP705-D.PDF,-,NCP705MT33TCGOSCT-ND,NCP705MT33TCG,ON Semiconductor,IC REG LDO 3.3V 0.5A 6WDFN,2968,9000,0.92,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,500mA,0.23V @ 500mA,1,Up to 5.5V,510mA,-40Â°C ~ 125Â°C,Surface Mount,6-WDFN Exposed Pad,6-WDFN (2x2)
http://www.onsemi.com/pub_link/Collateral/CAT6219-D.PDF,http://media.digikey.com/Renders/On%20Semi%20Renders/TSOT-23-5_419AE%E2%88%9201.jpg,CAT6219-330TDGT3CT-ND,CAT6219-330TDGT3,ON Semiconductor,IC REG LDO 3.3V 0.5A TSOT23-5,10130,27000,0.97,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,500mA,0.3V @ 500mA,1,Up to 5.5V,-,-40Â°C ~ 125Â°C,Surface Mount,"SOT-23-5 Thin, TSOT-23-5",TSOT-23-5
http://rohmfs.rohm.com/en/products/databook/datasheet/ic/power/linear_regulator/bdxxka5-e.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-252-3.jpg,BD33KA5FP-E2CT-ND,BD33KA5FP-E2,Rohm Semiconductor,IC REG LDO 3.3V 0.5A TO252-3,1496,0,1,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,500mA,0.12V @ 200mA,1,Up to 5.5V,-,-40Â°C ~ 105Â°C,Surface Mount,"TO-252-3, DPak (2 Leads + Tab), SC-63",TO-252-3
http://rohmfs.rohm.com/en/products/databook/datasheet/ic/power/linear_regulator/bdxxka5-e.pdf,"http://media.digikey.com/Renders/Rohm%20Renders/846;%20TO252-5;%20FP,%20ST;%205.jpg",BD33KA5WFP-E2CT-ND,BD33KA5WFP-E2,Rohm Semiconductor,IC REG LDO 3.3V 0.5A TO252-5,4109,0,1,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,500mA,0.12V @ 200mA,1,Up to 5.5V,-,-40Â°C ~ 105Â°C,Surface Mount,"TO-252-5, DPak (4 Leads + Tab), TO-252AD",TO-252-5
http://rohmfs.rohm.com/en/products/databook/datasheet/ic/power/linear_regulator/bdxxka5-e.pdf,http://media.digikey.com/Photos/Rohm%20Photos/MFG_TSOP8.jpg,BD33KA5WF-E2CT-ND,BD33KA5WF-E2,Rohm Semiconductor,IC REG LDO 3.3V 0.5A 8SOP,312,0,1.05,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,500mA,0.12V @ 200mA,1,Up to 5.5V,-,-40Â°C ~ 105Â°C,Surface Mount,"8-SOIC (0.173"", 4.40mm Width)",8-SOP
